0	N0CALL
1140434	FRS0434	Patrick
1140435	FRS0435	Jean
1140436	FRS0436	Christian
1140437	FRS0437	Melvin
1140438	FRS0438	J.Michel
1140439	FRS0439	Bruno
1140440	FRS0440	Kim
1140441	FRS0441	Sebastien
1140442	FRS0442	Kevin
1140443	FRS0443	Mickael
1140444	FRS0444	Olivier
1140445	FRS0445	Daniel
1140446	FRS0446	Emile
1140447	FRS0447	Gerard
1140448	FRS0448	J.Jacques
1140449	FRS0449	Daniel
1140450	FRS0450	Olivier
1140451	FRS0451	Gilbert
1140452	FRS0452	Andre
1140453	FRS0453	David
1140454	FRS0454	Robert
1140455	FRS0455	Michel
1140456	FRS0456	Laurent
1140457	FRS0457	Louis
1140458	FRS0458	Alain
1140459	FRS0459	Hamoud
1140460	FRS0460	Corrado
1140461	FRS0461	Frederic
1140462	FRS0462	Emmanuel
1140463	FRS0463	J.Marc
1140464	FRS0464	Luc
1140465	FRS0465	Jose
1140466	FRS0466	Gilles
1140467	FRS0467	J.Francois
1140468	FRS0468	Daniel
1140469	FRS0469	Philippe
1140470	FRS0470	Bernard
1140471	FRS0471	Julien
1140472	FRS0472	J.Pierre
1140473	FRS0473	Maranta
1140474	FRS0474	Henri
1140475	FRS0475	Thierry
1140476	FRS0476	Joel
1140477	FRS0477	Charles
1140478	FRS0478	Johann
1140479	FRS0479	Francois
1140480	FRS0480	Eric
1140481	FRS0481	Mickael
1140482	FRS0482	J.Luc
1140483	FRS0483	Stephane
1140484	FRS0484	David
1140485	FRS0485	Dany
1140486	FRS0486	J.Claude
1140487	FRS0487	Robi
1140488	FRS0488	Sophie
1140489	FRS0489	Francis
1140490	FRS0490	Jean
1140491	FRS0491	Joseph
1140492	FRS0492	Etienne
1140493	FRS0493	Lucas
1140494	FRS0494	L.Marie
1140495	FRS0495	Michel
1140496	FRS0496	Gilles
1140497	FRS0497	Valentin
1140498	FRS0498	Dominique
1140499	FRS0499	Laurent
1140500	FRS0500	Joel
1140501	FRS0501	Patrice
1140502	FRS0502	Valerie
1140503	FRS0503	Michel
1140504	FRS0504	Thomas
1140505	FRS0505	Bruno
1140506	FRS0506	Franck
1140507	FRS0507	Frederic
1140508	FRS0508	Andre
1140509	FRS0509	Serge
1140510	FRS0510	Cedric
1140511	FRS0511	Jose
1140512	FRS0512	J.Yves
1140513	FRS0513	Timothe
1140514	FRS0514	J.Herve
1140515	FRS0515	Cyril
1140516	FRS0516	Jose
1140517	FRS0517	Stephane
1140518	FRS0518	Brice
1140519	FRS0519	J.Paul
1140520	FRS0520	Philippe
1140521	FRS0521	J.Luc
1140522	FRS0522	J.Michel
1140523	FRS0523	Yoann
1140524	FRS0524	Joel
1140525	FRS0525	Nicolas
1140526	FRS0526	Sebastien
1140527	FRS0527	Jeremy
1140528	FRS0528	Francis
1140529	FRS0529	Philippe
1140530	FRS0530	Bernard
1140531	FRS0531	Nicolas
1140532	FRS0532	Pierre
1140533	FRS0533	J.Jacques
1140534	FRS0534	Adriano
1140535	FRS0535	Adrien
1140536	FRS0536	Daniel
1140537	FRS0537	Adrien
1140538	FRS0538	J.Christophe
1140539	FRS0539	Frederic
1140540	FRS0540	Francois
1140541	FRS0541	Gerard
1140542	FRS0542	Stephane
1140543	FRS0543	Alberto
1140544	FRS0544	Regine
1140545	FRS0545	Jose
1140546	FRS0546	Bruno
1140547	FRS0547	Pascal
1140548	FRS0548	Jean
1140549	FRS0549	Patrick
1140550	FRS0550	Mathieu
1140551	FRS0551	Vincent
1140552	FRS0552	Regis
1140553	FRS0553	Vincent
1140554	FRS0554	Pat
1140555	FRS0555	Michael
1140556	FRS0556	Thomas
1140557	FRS0557	Christian
1140558	FRS0558	Craig
1140559	FRS0559	Yannick
1140560	FRS0560	Eric
1140561	FRS0561	Stephane
1140562	FRS0562	Vincent
1140563	FRS0563	Christophe
1140564	FRS0564	Alain
1140565	FRS0565	Frederic
1140566	FRS0566	Yoann
1140567	FRS0567	Alex
1140568	FRS0568	Patrice
1140569	FRS0569	Bruno
1140570	FRS0570	Eric
1140571	FRS0571	Daniel
1140572	FRS0572	J.Paul
1140573	FRS0573	J.Pierre
1140574	FRS0574	Patrick
1140575	FRS0575	Dominique
1140576	FRS0576	Valentin
1140577	FRS0577	Florentin
